date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:44:31	7751/7751	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2000:44:28%20GMT	https://www3.primuss.de/cgi-bin/Verify/index.pl?FH=fhan	C:/Meine%20Webseiten/Uni/www3.primuss.de/cgi-bin/Verify/index9c64.html	(from )
02:44:32	278/278	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Jun%202022%2000:44:28%20GMT	https://www3.primuss.de/robots.txt		(from )
02:44:32	25052/25052	---M-Z	200	added ('OK')	text/css	etag:%2261dc-55f43641adf18-gzip%22	https://www3.primuss.de/css/2/standard.css	C:/Meine%20Webseiten/Uni/www3.primuss.de/css/2/standard.css	(from https://www3.primuss.de/cgi-bin/Verify/index.pl?FH=fhan)
02:44:32	17203/17203	---M-Z	200	added ('OK')	text/css	etag:%224333-55d63b0cf027d-gzip%22	https://www3.primuss.de/js/jquery/css/ui-smoothness/jquery-ui.custom.css	C:/Meine%20Webseiten/Uni/www3.primuss.de/js/jquery/css/ui-smoothness/jquery-ui.custom.css	(from https://www3.primuss.de/cgi-bin/Verify/index.pl?FH=fhan)
02:44:32	8982/8982	---M-Z	200	added ('OK')	text/css	etag:%222316-55ef82452a2b5-gzip%22	https://www3.primuss.de/css/qtip/jquery.qtip.min.css	C:/Meine%20Webseiten/Uni/www3.primuss.de/css/qtip/jquery.qtip.min.css	(from https://www3.primuss.de/cgi-bin/Verify/index.pl?FH=fhan)
02:44:32	2451/2451	---M-Z	200	added ('OK')	text/css	etag:%22993-55f43641a3339-gzip%22	https://www3.primuss.de/css/2/1024.css	C:/Meine%20Webseiten/Uni/www3.primuss.de/css/2/1024.css	(from https://www3.primuss.de/cgi-bin/Verify/index.pl?FH=fhan)
02:44:33	754/754	---M-Z	200	added ('OK')	text/css	etag:%222f2-55f43641a3339-gzip%22	https://www3.primuss.de/css/2/768.css	C:/Meine%20Webseiten/Uni/www3.primuss.de/css/2/768.css	(from https://www3.primuss.de/cgi-bin/Verify/index.pl?FH=fhan)
02:44:33	794/794	---M-Z	200	added ('OK')	text/css	etag:%2231a-55f43641a3339-gzip%22	https://www3.primuss.de/css/2/480.css	C:/Meine%20Webseiten/Uni/www3.primuss.de/css/2/480.css	(from https://www3.primuss.de/cgi-bin/Verify/index.pl?FH=fhan)
02:44:33	3254/3254	---M-Z	200	added ('OK')	text/css	etag:%22cb6-55ef82452b255-gzip%22	https://www3.primuss.de/css/Allgemein/jquery.sidr.css	C:/Meine%20Webseiten/Uni/www3.primuss.de/css/Allgemein/jquery.sidr.css	(from https://www3.primuss.de/cgi-bin/Verify/index.pl?FH=fhan)
02:44:33	14818/14818	---M-Z	200	added ('OK')	application/javascript	etag:%2239e2-55d63b0d0a85c-gzip%22	https://www3.primuss.de/js/modernizr-2.js	C:/Meine%20Webseiten/Uni/www3.primuss.de/js/modernizr-2.js	(from https://www3.primuss.de/cgi-bin/Verify/index.pl?FH=fhan)
02:44:34	273199/273199	---MCZ	200	added ('OK')	application/javascript	etag:%2242b2f-55d63b0cf027d-gzip%22	https://www3.primuss.de/js/jquery/js/jquery.js	C:/Meine%20Webseiten/Uni/www3.primuss.de/js/jquery/js/jquery.js	(from https://www3.primuss.de/cgi-bin/Verify/index.pl?FH=fhan)
02:44:34	7034/7034	---M-Z	200	added ('OK')	application/javascript	etag:%221b7a-55d63b0ce27bd-gzip%22	https://www3.primuss.de/js/jquery.sidr.min.js	C:/Meine%20Webseiten/Uni/www3.primuss.de/js/jquery.sidr.min.js	(from https://www3.primuss.de/cgi-bin/Verify/index.pl?FH=fhan)
02:44:34	4676/4676	---M--	200	added ('OK')	image/png	etag:%221244-55302aaad8451%22	https://www3.primuss.de/pics/Neue/Ansbach.png	C:/Meine%20Webseiten/Uni/www3.primuss.de/pics/Neue/Ansbach.png	(from https://www3.primuss.de/cgi-bin/Verify/index.pl?FH=fhan)
02:44:34	3978/3978	---M--	200	added ('OK')	image/gif	etag:%22f8a-55302aacaa300%22	https://www3.primuss.de/pics/logo/primuss.gif	C:/Meine%20Webseiten/Uni/www3.primuss.de/pics/logo/primuss.gif	(from https://www3.primuss.de/cgi-bin/Verify/index.pl?FH=fhan)
02:44:34	1479/1479	---M--	200	added ('OK')	image/png	etag:%225c7-55302aad455e9%22	https://www3.primuss.de/pics/picto/hamburger.png	C:/Meine%20Webseiten/Uni/www3.primuss.de/pics/picto/hamburger.png	(from https://www3.primuss.de/cgi-bin/Verify/index.pl?FH=fhan)
02:44:35	44296/44296	---M-Z	200	added ('OK')	application/javascript	etag:%22ad08-55d63b0d0b7fc-gzip%22	https://www3.primuss.de/js/qtip/jquery.qtip.min.js	C:/Meine%20Webseiten/Uni/www3.primuss.de/js/qtip/jquery.qtip.min.js	(from https://www3.primuss.de/cgi-bin/Verify/index.pl?FH=fhan)
02:44:35	2799/2799	---M-Z	200	added ('OK')	application/javascript	etag:%22aef-55d63b0ce27bd-gzip%22	https://www3.primuss.de/js/vorlagen/bewerbung/m.js	C:/Meine%20Webseiten/Uni/www3.primuss.de/js/vorlagen/bewerbung/m.js	(from https://www3.primuss.de/cgi-bin/Verify/index.pl?FH=fhan)
02:44:35	208/208	---M--	200	added ('OK')	image/png	etag:%22d0-55d63b0cf027d%22	https://www3.primuss.de/js/jquery/css/ui-smoothness/images/ui-bg_flat_75_ffffff_40x100.png	C:/Meine%20Webseiten/Uni/www3.primuss.de/js/jquery/css/ui-smoothness/images/ui-bg_flat_75_ffffff_40x100.png	(from https://www3.primuss.de/js/jquery/css/ui-smoothness/jquery-ui.custom.css)
02:44:36	280/280	---M--	200	added ('OK')	image/png	etag:%22118-55d63b0cf027d%22	https://www3.primuss.de/js/jquery/css/ui-smoothness/images/ui-bg_highlight-soft_75_cccccc_1x100.png	C:/Meine%20Webseiten/Uni/www3.primuss.de/js/jquery/css/ui-smoothness/images/ui-bg_highlight-soft_75_cccccc_1x100.png	(from https://www3.primuss.de/js/jquery/css/ui-smoothness/jquery-ui.custom.css)
02:44:36	262/262	---M--	200	added ('OK')	image/png	etag:%22106-55d63b0cf027d%22	https://www3.primuss.de/js/jquery/css/ui-smoothness/images/ui-bg_glass_75_e6e6e6_1x400.png	C:/Meine%20Webseiten/Uni/www3.primuss.de/js/jquery/css/ui-smoothness/images/ui-bg_glass_75_e6e6e6_1x400.png	(from https://www3.primuss.de/js/jquery/css/ui-smoothness/jquery-ui.custom.css)
02:44:36	262/262	---M--	200	added ('OK')	image/png	etag:%22106-55d63b0cf027d%22	https://www3.primuss.de/js/jquery/css/ui-smoothness/images/ui-bg_glass_75_dadada_1x400.png	C:/Meine%20Webseiten/Uni/www3.primuss.de/js/jquery/css/ui-smoothness/images/ui-bg_glass_75_dadada_1x400.png	(from https://www3.primuss.de/js/jquery/css/ui-smoothness/jquery-ui.custom.css)
02:44:36	207/207	---M--	200	added ('OK')	image/png	etag:%22cf-55d63b0cf027d%22	https://www3.primuss.de/js/jquery/css/ui-smoothness/images/ui-bg_glass_65_ffffff_1x400.png	C:/Meine%20Webseiten/Uni/www3.primuss.de/js/jquery/css/ui-smoothness/images/ui-bg_glass_65_ffffff_1x400.png	(from https://www3.primuss.de/js/jquery/css/ui-smoothness/jquery-ui.custom.css)
02:44:36	335/335	---M--	200	added ('OK')	image/png	etag:%2214f-55d63b0cf027d%22	https://www3.primuss.de/js/jquery/css/ui-smoothness/images/ui-bg_glass_55_fbf9ee_1x400.png	C:/Meine%20Webseiten/Uni/www3.primuss.de/js/jquery/css/ui-smoothness/images/ui-bg_glass_55_fbf9ee_1x400.png	(from https://www3.primuss.de/js/jquery/css/ui-smoothness/jquery-ui.custom.css)
02:44:37	332/332	---M--	200	added ('OK')	image/png	etag:%2214c-55d63b0cf027d%22	https://www3.primuss.de/js/jquery/css/ui-smoothness/images/ui-bg_glass_95_fef1ec_1x400.png	C:/Meine%20Webseiten/Uni/www3.primuss.de/js/jquery/css/ui-smoothness/images/ui-bg_glass_95_fef1ec_1x400.png	(from https://www3.primuss.de/js/jquery/css/ui-smoothness/jquery-ui.custom.css)
02:44:37	6922/6922	---M--	200	added ('OK')	image/png	etag:%221b0a-55d63b0cf027d%22	https://www3.primuss.de/js/jquery/css/ui-smoothness/images/ui-icons_222222_256x240.png	C:/Meine%20Webseiten/Uni/www3.primuss.de/js/jquery/css/ui-smoothness/images/ui-icons_222222_256x240.png	(from https://www3.primuss.de/js/jquery/css/ui-smoothness/jquery-ui.custom.css)
02:44:37	6999/6999	---M--	200	added ('OK')	image/png	etag:%221b57-55d63b0cf027d%22	https://www3.primuss.de/js/jquery/css/ui-smoothness/images/ui-icons_888888_256x240.png	C:/Meine%20Webseiten/Uni/www3.primuss.de/js/jquery/css/ui-smoothness/images/ui-icons_888888_256x240.png	(from https://www3.primuss.de/js/jquery/css/ui-smoothness/jquery-ui.custom.css)
02:44:37	6992/6992	---M--	200	added ('OK')	image/png	etag:%221b50-55d63b0cf027d%22	https://www3.primuss.de/js/jquery/css/ui-smoothness/images/ui-icons_454545_256x240.png	C:/Meine%20Webseiten/Uni/www3.primuss.de/js/jquery/css/ui-smoothness/images/ui-icons_454545_256x240.png	(from https://www3.primuss.de/js/jquery/css/ui-smoothness/jquery-ui.custom.css)
02:44:38	4549/4549	---M--	200	added ('OK')	image/png	etag:%2211c5-55d63b0cf027d%22	https://www3.primuss.de/js/jquery/css/ui-smoothness/images/ui-icons_2e83ff_256x240.png	C:/Meine%20Webseiten/Uni/www3.primuss.de/js/jquery/css/ui-smoothness/images/ui-icons_2e83ff_256x240.png	(from https://www3.primuss.de/js/jquery/css/ui-smoothness/jquery-ui.custom.css)
02:44:38	4549/4549	---M--	200	added ('OK')	image/png	etag:%2211c5-55d63b0cf027d%22	https://www3.primuss.de/js/jquery/css/ui-smoothness/images/ui-icons_cd0a0a_256x240.png	C:/Meine%20Webseiten/Uni/www3.primuss.de/js/jquery/css/ui-smoothness/images/ui-icons_cd0a0a_256x240.png	(from https://www3.primuss.de/js/jquery/css/ui-smoothness/jquery-ui.custom.css)
02:44:38	212/212	---M--	200	added ('OK')	image/png	etag:%22d4-55d63b0cf027d%22	https://www3.primuss.de/js/jquery/css/ui-smoothness/images/ui-bg_flat_0_aaaaaa_40x100.png	C:/Meine%20Webseiten/Uni/www3.primuss.de/js/jquery/css/ui-smoothness/images/ui-bg_flat_0_aaaaaa_40x100.png	(from https://www3.primuss.de/js/jquery/css/ui-smoothness/jquery-ui.custom.css)
